YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2017,1,1,3.2,30.8,23.1,87,2,90
2017,1,2,6.7,30,23.5,88,1,90
2017,1,3,6.3,30,22.6,90,1,40
2017,1,4,39.2,29.8,23.5,90,2,90
2017,1,5,0.4,28.6,23,88,2,90
2017,1,6,0.4,30.1,22,84,2,20
2017,1,7,1.4,31.5,22.5,83,1,360
2017,1,8,31,29,21.6,85,1,360
2017,1,9,43.4,27,22.2,95,2,20
2017,1,10,4.1,27.3,23.2,92,2,70
2017,1,11,0,32,23,84,1,90
2017,1,12,8.2,30,22.4,89,1,360
2017,1,13,39.2,29.9,22.3,92,1,340
2017,1,14,10.8,29.1,22.4,92,2,340
2017,1,15,11.6,28,22,89,2,360
2017,1,16,0.6,25.2,22,86,2,40
2017,1,17,0.6,27.2,22.5,83,2,90
2017,1,18,6.6,29.1,22.4,87,2,40
2017,1,19,0,30.2,22,85,1,20
2017,1,20,3.9,29.5,22.6,86,1,50
2017,1,21,54.4,29.4,22,92,1,40
2017,1,22,2.2,29.6,22.9,89,2,340
2017,1,23,0,31,23.2,84,2,90
2017,1,24,0.2,31.5,23.5,76,2,90
2017,1,25,0.2,29.5,21.8,80,2,90
2017,1,26,6.8,30.7,21.5,83,2,90
2017,1,27,0.6,31.5,22.1,81,1,70
2017,1,28,2,31.5,22.9,84,1,40
2017,1,29,1,30.4,23,89,1,90
2017,1,30,0,29,23.5,89,2,90
2017,1,31,1.6,29.8,23.1,90,2,90
2017,2,1,2.3,31,22.5,86,1,120
2017,2,2,7.2,30.5,22.4,88,1,20
2017,2,3,1.6,31.3,21.7,81,1,60
2017,2,4,0,29,22.6,82,2,360
2017,2,5,0,30,22.7,80,2,340
2017,2,6,0,29.5,22.7,76,2,360
2017,2,7,0.3,29.2,22.6,81,2,360
2017,2,8,0,29.8,24,77,2,350
2017,2,9,0,29.6,22.5,78,2,350
2017,2,10,0,30,21.6,77,2,40
2017,2,11,1.2,31.1,21.5,79,2,360
2017,2,12,0,31,20.7,72,1,40
2017,2,13,0.3,30.3,20.3,73,2,40
2017,2,14,0,30,21.4,73,1,40
2017,2,15,1.3,28.5,21.5,82,1,70
2017,2,16,6.2,27.6,20,85,1,40
2017,2,17,0.6,28.6,23.5,88,2,90
2017,2,18,0.4,32.2,23.1,85,3,90
2017,2,19,0,33.3,23.2,80,2,90
2017,2,20,0.4,32.3,23.4,85,2,90
2017,2,21,12.3,32.5,22.7,77,1,90
2017,2,22,0.8,30.3,22.1,86,1,90
2017,2,23,7.8,28.1,22.7,91,1,360
2017,2,24,0,30.6,23.5,88,1,40
2017,2,25,0,31.4,23.5,84,1,90
2017,2,26,0,32.6,22.5,79,1,40
2017,2,27,0,32.2,22.4,78,2,40
2017,2,28,11,33.1,22.8,79,1,90
2017,3,1,0,32,22.6,81,1,90
2017,3,2,4.7,29.5,21.4,84,1,120
2017,3,3,0.4,31.2,22.1,82,1,90
2017,3,4,0,32.5,21.1,77,1,90
2017,3,5,0,32.2,22.5,75,2,90
2017,3,6,0,31,22,81,2,90
2017,3,7,0,29.4,23.5,76,2,40
2017,3,8,0.4,30.2,23.5,77,1,90
2017,3,9,-1,30,21.8,82,2,20
2017,3,10,0,33.4,23,77,1,20
2017,3,11,19.1,29.5,22.5,89,1,360
2017,3,12,21.4,28,22.5,91,1,350
2017,3,13,0,31,23.1,86,1,350
2017,3,14,0,32,23.3,83,1,120
2017,3,15,0.6,32.5,22.5,86,1,120
2017,3,16,0,30.4,23,83,1,90
2017,3,17,0,30.4,22.5,81,2,90
2017,3,18,0,31,23,79,2,90
2017,3,19,0,31.6,22.5,79,2,90
2017,3,20,16.8,28,22.5,87,2,350
2017,3,21,0.4,31.1,22.6,90,1,220
2017,3,22,0,32,23.2,85,1,120
2017,3,23,0,32.3,22.5,82,1,90
2017,3,24,0,31.5,23.5,78,1,120
2017,3,25,0,31,23.6,80,1,120
2017,3,26,0,32.2,23.6,80,1,90
2017,3,27,0.4,32.7,23.8,78,1,60
2017,3,28,7.2,31.1,22.7,80,1,40
2017,3,29,4.4,28.7,23,87,1,90
2017,3,30,0,32.6,22.9,80,1,90
2017,3,31,0,30.9,23.5,81,1,350
2017,4,1,5.5,31.8,22.2,84,1,120
2017,4,2,2,32.3,22.5,78,1,140
2017,4,3,0.2,27,23,85,2,360
2017,4,4,0,30.2,24,80,1,40
2017,4,5,1,30,23.4,86,1,20
2017,4,6,24.8,31.5,25,81,2,140
2017,4,7,0,31.5,24.5,84,1,90
2017,4,8,0,31,24,85,1,140
2017,4,9,0,30.5,23.2,82,1,140
2017,4,10,0,30,23.4,79,2,90
2017,4,11,0,30.1,24.2,86,1,90
2017,4,12,0,32,24,85,2,140
2017,4,13,0,32.2,24.5,81,2,90
2017,4,14,0,32.6,24,79,2,360
2017,4,15,0.6,33,23.5,80,2,90
2017,4,16,23.6,29.2,23,94,2,120
2017,4,17,0,31.4,24,86,2,140
2017,4,18,0,32.2,23.5,79,1,140
2017,4,19,0,32,24,80,2,90
2017,4,20,0,32.6,23.5,81,2,140
2017,4,21,0,32.4,24.8,81,1,120
2017,4,22,0,32.8,24.2,80,1,140
2017,4,23,0,32.8,24.2,80,1,140
2017,4,24,0,33.5,24.4,75,1,90
2017,4,25,0,33,23,75,1,120
2017,4,26,0,33.5,22.6,78,1,120
2017,4,27,0,33,22.5,76,1,90
2017,4,28,0,32.8,23,75,1,90
2017,4,29,0,33.3,23.5,75,1,90
2017,4,30,0,33.5,23.8,77,1,90
2017,5,1,0,33.5,24.6,81,1,140
2017,5,2,0,32.8,25.2,80,2,90
2017,5,3,0,33.2,24.4,81,1,90
2017,5,4,0,34,24,79,2,90
2017,5,5,0.4,34,25,80,2,90
2017,5,6,0,34.2,24.8,80,2,90
2017,5,7,0,35,25.5,84,2,90
2017,5,8,0,34.5,25,79,2,140
2017,5,9,0,34.5,25.5,75,2,40
2017,5,10,1.4,34.5,25.5,75,2,90
2017,5,11,0.6,34,25.5,81,2,120
2017,5,12,0,34.5,25.5,78,2,120
2017,5,13,0,34,25,80,2,120
2017,5,14,0,33,25.5,80,1,90
2017,5,15,0,33.5,25,81,2,90
2017,5,16,13,32,24,87,1,140
2017,5,17,19.4,32.2,24,88,1,90
2017,5,18,0,33.8,24,85,2,90
2017,5,19,0,33.4,24.2,82,2,140
2017,5,20,7.9,33,24.4,85,1,90
2017,5,21,3.8,31,24.2,85,1,180
2017,5,22,0.6,32.5,24.8,85,2,220
2017,5,23,30.4,33.4,23.6,91,2,180
2017,5,24,1.7,32.8,24.5,82,1,220
2017,5,25,2.6,31.5,24.5,90,1,270
2017,5,26,0,32,24.5,87,1,140
2017,5,27,4,33,25,86,1,140
2017,5,28,0,33,25,82,2,140
2017,5,29,0,33.5,25,81,1,90
2017,5,30,0,34,25.5,80,1,90
2017,5,31,2.2,33,25.5,84,2,180
2017,6,1,0,34.5,25.5,75,2,180
2017,6,2,0,35,25.4,74,2,180
2017,6,3,0,34.8,24.8,78,2,180
2017,6,4,0,34.8,24.8,83,1,180
2017,6,5,13.6,34.8,23.5,80,2,290
2017,6,6,0,32.8,24.4,85,1,140
2017,6,7,0.4,33.2,24.8,88,2,180
2017,6,8,0,34.4,25,84,2,90
2017,6,9,12.6,32,24.2,87,2,140
2017,6,10,0,32.4,24.4,83,1,140
2017,6,11,0,33.5,24,86,1,180
2017,6,12,0,32.7,23.7,81,1,140
2017,6,13,0,33.7,24,76,1,120
2017,6,14,0,33.5,25.5,84,2,120
2017,6,15,0,33.7,24.5,77,1,90
2017,6,16,0,34,24.5,76,2,140
2017,6,17,0.4,34.2,24.5,81,2,200
2017,6,18,0.5,34,25.2,78,1,140
2017,6,19,0,34.5,24.5,78,1,140
2017,6,20,6.5,33.5,23.7,83,1,140
2017,6,21,28.7,32.2,24,82,1,240
2017,6,22,12,31.8,24,83,1,220
2017,6,23,0,33,24.5,85,1,180
2017,6,24,0,33.5,24.5,80,1,120
2017,6,25,0,34,24.5,74,1,180
2017,6,26,0,33,24.7,78,1,140
2017,6,27,0,32,24.5,80,1,90
2017,6,28,1.5,32.5,23.2,85,1,180
2017,6,29,15.2,32.8,24,88,1,90
2017,6,30,0,34,24.4,83,2,90
2017,7,1,34,33.6,22.5,85,2,360
2017,7,2,14.4,32,23.4,88,1,90
2017,7,3,0,31.8,24,84,2,90
2017,7,4,1.7,29,22,88,1,180
2017,7,5,0,33,23.5,77,1,120
2017,7,6,0,32.5,24.5,81,1,120
2017,7,7,1.2,30,25,80,1,90
2017,7,8,0,33,24.5,81,1,140
2017,7,9,10.2,33,23.5,79,2,140
2017,7,10,0,31.5,24.5,84,2,120
2017,7,11,11,32.5,24,87,1,90
2017,7,12,3.4,31.5,24,85,1,180
2017,7,13,2.6,31.5,23.5,89,1,180
2017,7,14,13.8,30.4,23.4,90,1,220
2017,7,15,38.8,30.8,23.5,92,1,220
2017,7,16,2.4,32.8,23.2,85,2,140
2017,7,17,1.4,33,24.4,86,2,360
2017,7,18,4.2,31.8,22.2,86,2,90
2017,7,19,1.4,32,24.2,85,1,90
2017,7,20,0,31.5,24,78,2,220
2017,7,21,5.6,31,23.5,82,1,220
2017,7,22,6,33,23.2,78,1,240
2017,7,23,9,28.5,23,89,2,240
2017,7,24,75,31.5,23,84,2,240
2017,7,25,0.6,32,24,80,2,270
2017,7,26,0,31,25,76,3,240
2017,7,27,0,32,25,77,3,240
2017,7,28,0,32,26.4,80,2,180
2017,7,29,-1,33.2,25.4,78,4,180
2017,7,30,0,33,25.5,80,2,180
2017,7,31,0,34.4,25.6,77,2,270
2017,8,1,0,34.5,25.5,75,2,220
2017,8,2,8.8,31.5,24.8,88,2,270
2017,8,3,0,33.8,24,78,3,220
2017,8,4,7.8,31.8,24,83,2,220
2017,8,5,0,33.5,25,74,2,270
2017,8,6,-1,33.5,24.5,80,1,220
2017,8,7,1.2,33,24.5,78,2,180
2017,8,8,25.4,33,24,89,1,180
2017,8,9,0,32.8,22.5,81,1,270
2017,8,10,0.2,33,23.5,78,1,270
2017,8,11,0,33,24.2,80,1,120
2017,8,12,0,32.6,24.5,80,1,140
2017,8,13,0,33.4,24.4,81,1,90
2017,8,14,2.8,33,24,87,1,250
2017,8,15,0,34,24.5,80,1,90
2017,8,16,0,32.5,24.5,82,1,90
2017,8,17,0,32.5,24.5,83,1,90
2017,8,18,0,34,25,76,2,300
2017,8,19,73,32,23,89,2,270
2017,8,20,4.8,32,23.5,83,2,240
2017,8,21,14,32,24.5,81,3,200
2017,8,22,11.6,33,23,80,2,180
2017,8,23,1.8,31.5,23.5,82,1,180
2017,8,24,32.2,31,23,89,1,270
2017,8,25,3.6,29.8,23.2,88,1,270
2017,8,26,0,32.8,23.8,83,1,110
2017,8,27,0.2,33.5,25.2,83,1,360
2017,8,28,1.2,32.2,24.4,82,2,360
2017,8,29,34.8,34.5,23.7,75,2,270
2017,8,30,0.2,32.5,25,79,1,220
2017,8,31,1.5,33,24.8,81,2,220
2017,9,1,0,34,25,76,2,220
2017,9,2,0,34.5,25,75,2,240
2017,9,3,0,34,24.5,78,1,270
2017,9,4,5.4,32.5,23,87,1,270
2017,9,5,0,32,23.8,85,1,220
2017,9,6,2.4,33.5,24.2,79,1,90
2017,9,7,0,34.2,25.2,78,1,140
2017,9,8,1.4,34.2,24.8,83,2,360
2017,9,9,20.2,34,23.5,83,1,360
2017,9,10,4.3,32.5,24,85,2,320
2017,9,11,28.2,29.2,22.5,84,2,240
2017,9,12,3,29.5,24.4,80,4,200
2017,9,13,0.6,33.5,24,76,2,180
2017,9,14,0,32.5,24.5,84,1,140
2017,9,15,0,33.5,24.5,85,1,180
2017,9,16,0,33,24.5,81,2,180
2017,9,17,0,33.5,24.5,81,1,180
2017,9,18,0,31.5,24,84,1,180
2017,9,19,12.2,31.5,24,84,1,180
2017,9,20,25.8,31.8,23.5,87,1,220
2017,9,21,2.6,32.2,23.5,85,1,360
2017,9,22,66.4,31.5,22.5,85,1,220
2017,9,23,0,31,22,81,1,190
2017,9,24,7,32.8,24.4,81,1,280
2017,9,25,11,31.8,22.8,84,1,180
2017,9,26,0,32.6,23.8,82,1,180
2017,9,27,0,33,23.8,85,1,250
2017,9,28,44,32,22.5,92,1,110
2017,9,29,51.4,32.8,22.4,89,1,360
2017,9,30,2.2,30.2,23.6,89,1,40
2017,10,1,0,32.2,24.5,82,1,110
2017,10,2,0,33.1,24,78,1,120
2017,10,3,7.8,32,23.5,81,1,360
2017,10,4,0,33,24,83,1,180
2017,10,5,0,33.5,24,81,1,120
2017,10,6,0,33,24.5,83,1,20
2017,10,7,0,33,23.5,83,1,240
2017,10,8,2.3,32,23.8,84,1,180
2017,10,9,4.6,29.5,23.5,92,1,360
2017,10,10,1,32.5,24.2,84,1,270
2017,10,11,36.8,33,23.8,81,2,320
2017,10,12,0,32.2,24.5,84,2,180
2017,10,13,6,33,25.4,84,4,200
2017,10,14,1.2,31.8,24.4,87,4,180
2017,10,15,6.4,33.5,22.5,82,1,180
2017,10,16,54.5,32.3,22,82,1,240
2017,10,17,13.5,31.4,23.5,86,1,340
2017,10,18,72.2,32,23,89,1,340
2017,10,19,2.2,28.9,23.5,85,2,200
2017,10,20,11.6,31,23,82,2,220
2017,10,21,0,33.9,24.6,73,2,220
2017,10,22,1.6,32.2,24,79,1,220
2017,10,23,54.7,30,22.5,90,2,140
2017,10,24,0,33.4,23,81,1,90
2017,10,25,0,32.5,23,84,1,360
2017,10,26,0,32.1,24.4,78,1,360
2017,10,27,0,32,23,81,1,360
2017,10,28,0,32.5,24.5,81,2,140
2017,10,29,0,32.5,24,81,2,90
2017,10,30,13.2,33.5,23.5,80,2,140
2017,10,31,48.6,27.3,22,95,2,90
2017,11,1,-1,31,24.4,87,1,120
2017,11,2,0,33,24.7,83,1,60
2017,11,3,0,33.1,22.9,82,1,140
2017,11,4,0,31.5,24.6,84,1,360
2017,11,5,0,33,25,84,2,120
2017,11,6,0,34,25,84,2,40
2017,11,7,13.3,31.5,23,88,1,40
2017,11,8,28.4,33,23.2,86,1,360
2017,11,9,10.8,28.8,22.2,94,1,270
2017,11,10,0,32,24.3,90,1,90
2017,11,11,0,33.5,23.2,82,1,120
2017,11,12,4.6,32,24,88,1,360
2017,11,13,0.4,32.5,24.5,89,1,40
2017,11,14,-1,33,23.5,81,2,40
2017,11,15,0,33.5,24,83,1,90
2017,11,16,58.2,29,22.9,91,1,40
2017,11,17,7.6,27.8,23,92,1,90
2017,11,18,0,32.5,24.4,86,1,120
2017,11,19,0,34,24.5,81,1,120
2017,11,20,0,33.8,24,78,1,120
2017,11,21,2.6,33,23.7,84,1,90
2017,11,22,1.9,32.5,24,84,1,90
2017,11,23,2.2,32.5,23.6,83,1,360
2017,11,24,15,32.5,23.5,87,1,120
2017,11,25,5.7,31,23.5,90,1,90
2017,11,26,6,33.5,24,85,1,120
2017,11,27,8.2,33.5,24,87,2,90
2017,11,28,1,33.5,24.5,83,2,90
2017,11,29,1,31.5,23.7,88,1,40
2017,11,30,2,32.5,24.5,90,1,120
2017,12,1,0,32.5,24.7,81,1,90
2017,12,2,0,33.8,24.1,81,1,120
2017,12,3,0.2,33.6,23.7,80,1,120
2017,12,4,0,32.5,23.5,80,1,360
2017,12,5,8,32,23.5,86,1,90
2017,12,6,0,29.7,23,88,1,360
2017,12,7,0,32.8,23,81,1,90
2017,12,8,0,32,22.9,81,1,360
2017,12,9,0,32.5,23.5,80,1,360
2017,12,10,0,32,24,81,1,300
2017,12,11,4.8,31.5,23,86,1,40
2017,12,12,10.8,30,23.5,86,2,340
2017,12,13,25.6,27.5,21.9,91,2,360
2017,12,14,4.2,28.2,22.5,79,3,360
2017,12,15,63,26.5,21,81,2,320
2017,12,16,224.4,25.7,20.6,96,2,320
2017,12,17,22,28.6,22.1,91,1,120
2017,12,18,8,29.9,23.6,90,1,120
2017,12,19,-1,32,23,85,1,120
2017,12,20,17.6,33.1,22.1,82,1,350
2017,12,21,24.2,29.7,22.1,90,1,90
2017,12,22,33.6,28,22.5,91,1,40
2017,12,23,0.6,30.3,23.7,87,1,40
2017,12,24,0,32.1,23.4,83,1,120
2017,12,25,0.8,30,23,89,1,40
2017,12,26,-1,30.2,23.5,88,1,20
2017,12,27,1.8,31,23,88,1,90
2017,12,28,31.4,29,22.5,91,1,20
2017,12,29,14.8,29,22.5,91,2,40
2017,12,30,7.2,31,22.5,85,2,40
2017,12,31,117.4,26.8,20.7,93,3,350
2018,1,1,45.8,26.8,21.5,95,1,40
2018,1,2,43.6,26,22.3,96,1,40
2018,1,3,10.8,29.5,23,91,1,20
2018,1,4,1.1,29.5,22.9,91,1,90
2018,1,5,17,29.5,22.7,91,1,360
2018,1,6,3.2,30.2,22.4,89,1,360
2018,1,7,0,30.6,22.3,87,1,350
2018,1,8,0,31.1,22.6,84,1,140
2018,1,9,0,32,23.4,85,1,90
2018,1,10,8.6,31,23,86,1,360
2018,1,11,0,30,23.5,85,3,350
2018,1,12,12.6,29,22.5,88,3,340
2018,1,13,82.4,24.5,21.5,95,2,20
2018,1,14,123.6,25,21,95,2,350
2018,1,15,32.2,26.5,20.5,95,1,360
2018,1,16,14.4,28,22.6,90,1,320
2018,1,17,0.2,29.6,22.5,89,1,90
2018,1,18,6,30,22.7,86,1,90
2018,1,19,26.2,26.6,22.4,94,1,90
2018,1,20,0.4,31,21.7,84,1,90
2018,1,21,12,30.8,22.3,83,1,20
2018,1,22,0,31.3,22.6,85,1,120
2018,1,23,0,31.5,23.5,83,1,20
2018,1,24,1,30,22.8,86,1,350
2018,1,25,0,30.5,23.8,84,1,360
2018,1,26,0,31.8,23.5,81,1,90
2018,1,27,25,27.8,21.5,90,2,40
2018,1,28,8.6,25.4,21.5,93,1,350
2018,1,29,0,31.2,22,86,1,90
2018,1,30,0,30.2,21.6,79,1,140
2018,1,31,4.6,29.5,21.4,84,1,340
2018,2,1,0,31,23.4,80,2,360
2018,2,2,3.4,29.5,23,86,1,360
2018,2,3,5,27.5,22,91,1,360
2018,2,4,22.6,26.4,21.3,94,2,360
2018,2,5,-1,28.3,22,85,1,360
2018,2,6,0,29.5,21.7,80,1,360
2018,2,7,0,29.8,22,85,1,90
2018,2,8,0,30,20.4,84,1,360
2018,2,9,0,30,20.3,77,1,360
2018,2,10,0,30,21,81,1,360
2018,2,11,11.2,31,23,82,2,350
2018,2,12,29,28,22.5,91,2,40
2018,2,13,14.6,27,22.2,91,2,40
2018,2,14,9,28,23,90,2,90
2018,2,15,0,31.2,23.5,88,1,90
2018,2,16,0,31.2,22.9,83,1,140
2018,2,17,0.2,30.6,22,84,1,90
2018,2,18,0,32.2,22.5,79,1,90
2018,2,19,0.2,30.2,23,83,1,90
2018,2,20,3.2,30.2,22.5,86,1,90
2018,2,21,0,31.6,23.2,83,1,120
2018,2,22,0,32.2,22,78,1,90
2018,2,23,0,32,22.5,74,1,90
2018,2,24,84.2,28.8,22.5,83,1,40
2018,2,25,1.2,27,22.5,91,2,40
2018,2,26,1.6,30,23.5,87,1,90
2018,2,27,2.4,31,23,89,1,90
2018,2,28,0,31,23.5,84,2,90
2018,3,1,0,32,22.9,83,1,90
2018,3,2,2,30.3,23.4,86,1,90
2018,3,3,19,30.4,23.2,80,1,120
2018,3,4,2.2,30,22,87,1,70
2018,3,5,0.3,31.5,22.5,83,1,90
2018,3,6,1.8,32.1,23.1,82,1,70
2018,3,7,0,32.7,21.8,79,1,70
2018,3,8,3.4,32.7,22.2,81,1,340
2018,3,9,16.2,30,21.8,86,1,360
2018,3,10,12.6,29.3,20.4,87,1,20
2018,3,11,1.2,30,22,85,2,20
2018,3,12,16.8,31.1,21.9,81,2,20
2018,3,13,0.4,30,22.5,84,1,40
2018,3,14,2.4,30,22,78,1,360
2018,3,15,2.4,28,22,94,1,320
2018,3,16,2.6,30.5,23,87,1,90
2018,3,17,0,32,23.5,81,1,80
2018,3,18,0,33,23.5,78,1,90
2018,3,19,-1,31,23.5,79,1,100
2018,3,20,0,31.8,22.5,80,1,100
2018,3,21,0,32.1,22.4,81,1,90
2018,3,22,6,32.2,21.5,76,2,360
2018,3,23,33.4,27.2,20.5,88,2,90
2018,3,24,0,29.8,22.4,79,2,20
2018,3,25,0,30.7,21.4,77,2,360
2018,3,26,0,31.6,21,74,1,360
2018,3,27,0.6,30.6,22.5,72,1,320
2018,3,28,0,30,22,80,2,340
2018,3,29,0,31,21.6,77,2,340
2018,3,30,0.6,31,22,82,1,290
2018,3,31,0.4,31,22,79,2,340
2018,4,1,2,31.2,21.1,75,1,320
2018,4,2,0,32.5,23.4,81,1,90
2018,4,3,0,31,22.5,77,2,110
2018,4,4,0,31.2,22,74,2,90
2018,4,5,2,29.6,22.5,77,2,90
2018,4,6,8.6,29,23,86,1,350
2018,4,7,0,30.4,23.4,82,1,20
2018,4,8,4,30.8,23.4,84,1,360
2018,4,9,0.6,33,23.3,84,2,90
2018,4,10,0,32.4,24,81,1,90
2018,4,11,2.4,32.4,23.5,85,2,110
2018,4,12,-1,33,24,80,1,110
2018,4,13,0.6,32,24,82,2,90
2018,4,14,0,32,24,80,2,90
2018,4,15,0,33,23,79,1,90
2018,4,16,0,33,23.6,75,1,90
2018,4,17,0,32.2,23.4,76,1,90
2018,4,18,-1,33,24,78,1,360
2018,4,19,0,30.6,23.8,78,1,20
2018,4,20,0,30.6,24,79,1,360
2018,4,21,-1,32.2,23.4,80,1,110
2018,4,22,0.2,31.2,24,80,2,70
2018,4,23,0,33,24,75,2,110
2018,4,24,0,32.2,24.3,79,1,110
2018,4,25,0,33,24.6,78,2,110
2018,4,26,0,33,24,76,2,70
2018,4,27,0,32.8,24.6,77,2,90
2018,4,28,0,33.4,24,78,2,90
2018,4,29,0.2,32.6,24,84,1,110
2018,4,30,0.2,32.8,24.5,78,1,70
2018,5,1,0.4,34,25,75,0,0
2018,5,2,1,34,24.5,80,1,90
2018,5,3,1.6,29.6,23.6,83,1,70
2018,5,4,0.6,34,24,77,1,90
2018,5,5,0,30.6,24,84,1,90
2018,5,6,0,33,24.5,80,2,90
2018,5,7,0,33.4,24,75,1,90
2018,5,8,0,33.7,24,75,1,90
2018,5,9,0,34.6,24.4,72,1,110
2018,5,10,0,33.6,25,77,1,110
2018,5,11,0.1,33.6,24.5,77,2,110
2018,5,12,0,33.8,24,78,1,110
2018,5,13,0,34,25,78,2,110
2018,5,14,0,33.8,25.5,77,1,90
2018,5,15,-1,33.8,25.5,77,2,90
2018,5,16,0,34.6,25.5,74,2,110
2018,5,17,0,33.2,24,80,1,90
2018,5,18,0,34,25,78,2,90
2018,5,19,0,33.8,25,74,1,90
2018,5,20,0,33.4,25,77,2,110
2018,5,21,0,32.8,25.5,75,2,90
2018,5,22,0,33.4,24.5,79,1,90
2018,5,23,0,34.6,25.5,74,2,110
2018,5,24,0,34.4,25.5,70,2,90
